"n","Perturbation","x0","eta","c","r","Weight","Kappa","Lambda","Empirical_Power","MCSE","Theoretical_Power","Zero_Kappa"
50,"Oscillatory",NA,NA,2,5,"Uniform",-7.53954689429551e-19,-1.5079093788591e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,5,"Central",3.47782333417008e-17,6.95564666834016e-17,0.047,0.00299302522541993,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,5,"Tail",-5.61365292553813e-17,-1.12273058510763e-16,0.0438,0.00289418589589542,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,8,"Uniform",-7.53954689429551e-19,-1.5079093788591e-18,0,0,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,8,"Central",3.47782333417008e-17,6.95564666834016e-17,0.039,0.00273784586856163,0.0500000000000001,TRUE
50,"Oscillatory",NA,NA,2,8,"Tail",-5.61365292553813e-17,-1.12273058510763e-16,0.0402,0.00277791144567281,0.0500000000000001,TRUE
50,"Localized",0.25,0.05,0.5,1,"Uniform",-1.25316985885515e-05,-6.26584929427577e-06,0,0,0.0500000000044974,FALSE
50,"Localized",0.25,0.05,0.5,1,"Central",0.0125846610430436,0.00629233052152178,0.0488,0.00304691844328003,0.0500045354484228,FALSE
50,"Localized",0.25,0.05,0.5,1,"Tail",-0.0205735451293947,-0.0102867725646973,0.0522,0.00314563697841947,0.0500121215308438,FALSE
50,"Localized",0.25,0.05,0.5,2,"Uniform",-1.25316985885515e-05,-6.26584929427577e-06,0,0,0.0500000000044974,FALSE
50,"Localized",0.25,0.05,0.5,2,"Central",0.0125846610430436,0.00629233052152178,0.048,0.00302311098043059,0.0500045354484228,FALSE
50,"Localized",0.25,0.05,0.5,2,"Tail",-0.0205735451293947,-0.0102867725646973,0.0524,0.00315132480077824,0.0500121215308438,FALSE
50,"Localized",0.25,0.05,0.5,3,"Uniform",-1.25316985885515e-05,-6.26584929427577e-06,0,0,0.0500000000044974,FALSE
50,"Localized",0.25,0.05,0.5,3,"Central",0.0125846610430436,0.00629233052152178,0.0516,0.00312849612433834,0.0500045354484228,FALSE
50,"Localized",0.25,0.05,0.5,3,"Tail",-0.0205735451293947,-0.0102867725646973,0.0532,0.00317394895989208,0.0500121215308438,FALSE
50,"Localized",0.25,0.05,0.5,5,"Uniform",-1.25316985885515e-05,-6.26584929427577e-06,0,0,0.0500000000044974,FALSE
50,"Localized",0.25,0.05,0.5,5,"Central",0.0125846610430436,0.00629233052152178,0.0472,0.00299907185642492,0.0500045354484228,FALSE
50,"Localized",0.25,0.05,0.5,5,"Tail",-0.0205735451293947,-0.0102867725646973,0.0498,0.00307636018697421,0.0500121215308438,FALSE
