"n","x0","delta","r","Weight","Power","MCSE"
200,0.75,0.05,5,"Tail",0.0926,0.00409939605307904
200,0.75,0.05,8,"Uniform",0,0
200,0.75,0.05,8,"Central",0.0302,0.00242024626846112
200,0.75,0.05,8,"Tail",0.0826,0.00389299987156434
200,0.75,0.1,1,"Uniform",0,0
200,0.75,0.1,1,"Central",0.0144,0.00168479316237929
200,0.75,0.1,1,"Tail",0.1716,0.00533204351070019
200,0.75,0.1,2,"Uniform",0,0
200,0.75,0.1,2,"Central",0.0086,0.00130583613060751
200,0.75,0.1,2,"Tail",0.1848,0.00548906112190418
200,0.75,0.1,3,"Uniform",0,0
